"pressure","permeability","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
112.23,1,1,432.76,432.76,-200,0
112.23,1,1,433.48,433.48,-200,0
112.21,1,1,434.2,434.2,-200,0
112.21,1,1,434.92,434.92,-200,0
112.18,1,1,435.64,435.64,-200,0
112.18,1,1,436.36,436.36,-200,0
112.17,1,1,437.08,437.08,-200,0
112.17,1,1,437.8,437.8,-200,0
112.17,1,1,438.52,438.52,-200,0
112.17,1,1,439.24,439.24,-200,0
112.16,1,1,439.96,439.96,-200,0
112.13,1,1,440.68,440.68,-200,0
112.13,1,1,441.4,441.4,-200,0
112.13,1,1,442.12,442.12,-200,0
112.12,1,1,442.84,442.84,-200,0
112.1,1,1,443.56,443.56,-200,0
112.1,1,1,444.28,444.28,-200,0
112.1,1,1,445,445,-200,0
112.07,1,1,445.72,445.72,-200,0
112.07,1,1,446.44,446.44,-200,0
112.07,1,1,447.16,447.16,-200,0
112.07,1,1,447.88,447.88,-200,0
112.04,1,1,448.6,448.6,-200,0
112.04,1,1,449.32,449.32,-200,0
112.03,1,1,450.05,450.05,-200,0
112.03,1,1,450.77,450.77,-200,0
112,1,1,451.49,451.49,-200,0
112,1,1,452.21,452.21,-200,0
112,1,1,452.93,452.93,-200,0
112,1,1,453.65,453.65,-200,0
111.97,1,1,454.37,454.37,-200,0
111.97,1,1,455.09,455.09,-200,0
111.97,1,1,455.81,455.81,-200,0
111.96,1,1,456.53,456.53,-200,0
111.96,1,1,457.25,457.25,-200,0
111.96,1,1,457.97,457.97,-200,0
111.93,1,1,458.69,458.69,-200,0
111.93,1,1,459.41,459.41,-200,0
111.93,1,1,460.13,460.13,-200,0
111.93,1,1,460.85,460.85,-200,0
111.9,1,1,461.57,461.57,-200,0
111.9,1,1,462.29,462.29,-200,0
111.9,1,1,463.01,463.01,-200,0
111.88,1,1,463.73,463.73,-200,0
111.88,1,1,464.45,464.45,-200,0
111.88,1,1,465.17,465.17,-200,0
111.88,1,1,465.89,465.89,-200,0
111.85,1,1,466.61,466.61,-200,0
111.86,1,1,467.33,467.33,-200,0
111.86,1,1,468.05,468.05,-200,0
111.83,1,1,468.77,468.77,-200,0
111.83,1,1,469.49,469.49,-200,0
